iata,beach,mountain,culture,business,adventure,nightlife,food,nature,budget,luxury
ULB,1,0,0,0,0,0,1,1,0,0
VLS,1,0,0,0,0,0,1,1,0,0
SWJ,1,0,0,0,0,0,1,1,0,0
OLJ,1,0,0,0,0,0,1,1,0,0
AUY,1,0,0,0,0,0,1,1,0,0
AWD,1,0,0,0,0,0,1,1,0,0
DLY,1,0,0,0,0,0,1,1,0,0
FTA,1,0,0,0,0,0,1,1,0,0
IPA,1,0,0,0,0,0,1,1,0,0
TGJ,1,0,0,0,0,0,1,1,0,0
BMY,1,0,0,0,0,0,1,1,0,0
ILP,1,0,0,0,0,0,1,1,0,0
FBD,0,0,0,0,1,0,0,1,1,0
AJF,0,0,0,0,1,0,0,1,1,0
WAE,1,0,0,0,0,0,1,1,0,0
KHD,0,0,0,0,1,0,0,1,1,0
BXR,0,0,0,0,1,0,0,1,1,0
RJN,0,0,0,0,1,0,0,1,1,0
BJB,0,0,0,0,1,0,0,1,1,0
AFZ,0,0,0,0,1,0,0,1,1,0
NSH,0,0,0,0,1,0,0,1,1,0
SRY,0,0,0,0,1,0,0,1,1,0
LRR,0,0,0,0,1,0,0,1,1,0
ADU,0,0,0,0,1,0,0,1,1,0
OMH,0,0,0,0,1,0,0,1,1,0
AAN,0,0,1,1,0,1,1,0,0,0
BNP,0,1,1,0,0,0,1,0,1,0
BHV,0,1,1,0,0,0,1,0,1,0
CJL,0,0,0,0,1,0,0,1,1,0
DBA,0,1,1,0,0,0,1,0,1,0
DEA,0,1,1,0,0,0,1,0,1,0
DSK,0,1,1,0,0,0,1,0,1,0
JIW,0,1,1,0,0,0,1,0,1,0
HDD,0,1,1,0,0,0,1,0,1,0
KDD,0,1,1,0,0,0,1,0,1,0
ORW,0,1,1,0,0,0,1,0,1,0
PAJ,0,1,1,0,0,0,1,0,1,0
KDU,0,0,0,0,1,0,0,1,1,0
SYW,0,1,1,0,0,0,1,0,1,0
TUK,0,1,1,1,0,1,1,0,1,0
ISU,0,0,1,1,0,1,1,0,0,0
KAC,1,0,1,0,0,1,1,0,0,1
GXF,1,0,1,1,0,1,1,1,0,0
ADK,1,0,0,0,0,0,0,0,0,0
GST,0,0,0,0,1,0,0,1,1,0
SGY,0,0,0,0,1,0,0,1,1,0
HCR,0,0,1,0,1,0,0,1,0,0
HNS,0,0,0,0,1,0,0,1,1,0
KLG,0,0,1,0,1,0,0,1,0,0
MCG,0,0,1,0,1,0,0,1,0,0
MOU,0,0,1,0,1,0,0,1,0,0
ANI,0,0,1,0,1,0,0,1,0,0
VAK,0,0,1,0,1,0,0,1,0,0
WRG,0,0,0,0,1,0,0,1,1,0
OPU,1,0,0,0,0,0,1,1,0,1
VMU,1,0,0,0,0,0,1,1,0,0
LUP,1,0,0,0,0,0,1,1,0,0
ENT,1,0,0,0,0,0,1,1,0,0
LZN,1,0,0,0,0,0,0,0,0,0
HCN,1,0,1,0,1,1,1,1,1,0
MFK,1,0,0,0,0,0,0,0,0,0
KUH,0,0,0,0,1,0,0,1,1,0
OKD,0,0,0,0,1,0,0,1,1,0
HSG,0,0,0,0,1,0,0,1,1,0
NKM,0,0,0,0,1,0,0,1,1,0
IWJ,0,0,0,0,1,0,0,1,1,0
FKS,0,0,0,0,1,0,0,1,1,0
ONJ,0,0,0,0,1,0,0,1,1,0
SYO,0,0,0,0,1,0,0,1,1,0
MYE,0,0,0,0,1,0,0,1,1,0
KUV,0,0,0,0,1,0,0,1,1,0
MPK,0,0,0,0,1,0,0,1,1,0
WJU,0,0,0,0,1,0,0,1,1,0
YNY,0,0,1,1,0,1,1,0,0,0
HIN,0,0,0,0,1,0,0,1,1,0
CJJ,0,0,1,1,0,1,1,0,0,0
SFS,1,0,1,1,1,1,1,1,1,0
CYU,1,0,1,0,1,1,1,1,1,0
CGM,1,0,1,0,1,1,1,1,1,0
JOL,1,0,1,0,1,1,1,1,1,0
TWT,1,0,1,0,1,1,1,1,1,0
SUG,1,0,1,0,1,1,1,1,1,0
TDG,1,0,1,0,1,1,1,1,1,0
WNP,1,0,1,0,1,1,1,1,1,0
BSO,1,0,1,0,1,1,1,1,1,0
SFE,1,0,1,0,1,1,1,1,1,0
TUG,1,0,1,0,1,1,1,1,1,0
VRC,1,0,1,0,1,1,1,1,1,0
CYP,1,0,1,1,1,1,1,1,1,0
CRM,1,0,1,0,1,1,1,1,1,0
MBT,1,0,1,0,1,1,1,1,1,0
RXS,1,0,1,1,1,1,1,1,1,0
TTG,1,0,1,0,1,0,1,1,1,0
LHS,0,0,1,0,1,0,1,1,1,0
OES,0,0,1,0,1,0,1,1,1,0
ING,0,0,1,0,1,0,1,1,1,0
GGS,0,0,1,0,1,0,1,1,1,0
SST,0,0,1,0,1,0,1,1,1,0
NEC,0,0,1,0,1,0,1,1,1,0
JDO,1,0,1,0,1,0,1,1,1,0
LEC,1,0,1,0,1,0,1,1,1,0
MEA,1,0,1,0,1,0,1,1,1,0
MII,1,0,1,0,1,0,1,1,1,0
VDC,1,0,1,0,1,0,1,1,1,0
RIA,0,0,1,0,1,0,1,1,1,0
TOW,0,0,1,0,1,0,1,1,1,0
ESR,0,0,1,0,1,0,1,1,1,0
ZPC,0,0,1,0,1,0,1,1,1,0
SOD,1,0,1,0,1,0,1,1,1,0
SCY,1,0,1,0,1,0,1,1,1,0
LOH,1,0,1,0,1,0,1,1,1,0
ESM,1,0,1,0,1,0,1,1,1,0
PSY,1,0,1,0,1,0,1,1,1,0
CRC,1,0,1,0,1,0,1,1,1,0
LQM,1,0,1,0,1,0,1,1,1,0
LPD,1,0,1,0,1,0,1,1,1,0
NQU,1,0,1,0,1,0,1,1,1,0
PDA,1,0,1,0,1,0,1,1,1,0
EYP,1,0,1,0,1,0,1,1,1,0
GYA,1,0,1,0,1,0,1,1,1,0
PUR,1,0,1,0,1,0,1,1,1,0
RIB,1,0,1,0,1,0,1,1,1,0
REY,1,0,1,0,1,0,1,1,1,0
SRJ,1,0,1,0,1,0,1,1,1,0
ORG,1,0,1,0,1,0,1,1,1,0
MVS,1,0,1,0,1,0,1,1,1,0
CJA,1,0,1,0,1,0,1,1,1,0
HUU,1,0,1,0,1,0,1,1,1,0
NZC,1,0,1,0,1,0,1,1,1,0
SRA,0,0,1,0,1,0,1,1,1,0
MYC,1,0,1,0,1,0,1,1,1,0
VIG,1,0,1,0,1,0,1,1,1,0
JPR,1,0,1,0,1,0,1,1,1,0
BBQ,1,0,1,0,1,0,1,1,1,0
DSD,1,0,1,0,1,0,1,1,1,0
BBR,1,0,1,0,1,0,1,1,1,0
SFC,1,0,1,0,1,0,1,1,1,0
GBJ,1,0,1,0,1,0,1,1,1,0
NEV,1,0,1,1,1,1,1,1,1,0
VIJ,1,0,0,0,0,0,1,1,0,0
BQU,1,0,1,0,1,0,1,1,1,0
UNI,1,0,1,1,1,1,1,1,1,0
KOV,0,0,0,0,1,0,0,1,1,0
PPK,0,0,0,0,1,0,0,1,1,0
DZN,0,0,0,0,1,0,0,1,1,0
UKK,0,0,0,0,1,0,0,1,1,0
KSN,0,0,0,0,1,0,0,1,1,0
KVD,0,0,0,0,1,0,0,1,1,0
NAJ,0,0,0,0,1,0,0,1,1,0
NER,0,0,0,0,1,0,0,1,1,0
PYJ,0,0,1,0,1,0,0,1,0,0
CKH,0,0,1,0,1,0,0,1,0,0
CYX,0,0,1,0,1,0,0,1,0,0
IKS,0,0,1,0,1,0,0,1,0,0
KXK,0,0,0,0,1,0,0,1,1,0
DYR,0,0,1,0,1,0,0,1,0,0
OHO,0,0,0,0,1,0,0,1,1,0
UJE,1,0,0,0,0,0,1,1,0,0
MPW,0,0,1,1,0,1,1,0,0,0
VSG,0,0,1,1,0,1,1,0,0,0
OZH,0,0,1,1,0,1,1,0,0,0
KWG,0,0,1,1,0,1,1,0,0,0
HRK,0,0,1,1,0,1,1,0,0,0
IFO,0,0,1,1,0,1,1,0,0,0
CWC,0,0,1,1,0,1,1,0,0,0
RWN,0,0,1,1,0,1,1,0,0,0
UDJ,0,0,1,1,0,1,1,0,0,0
CSH,1,0,1,0,1,0,0,1,0,0
CEE,0,0,0,0,1,0,0,1,1,0
AMV,0,0,1,0,1,0,0,1,0,0
KSZ,0,0,1,0,1,0,0,1,0,0
PES,0,0,1,0,1,0,0,1,0,0
GNA,0,0,0,0,1,0,0,1,1,0
MVQ,0,0,0,0,1,0,0,1,1,0
EIE,0,0,0,0,1,0,0,1,1,0
KYZ,0,0,0,0,1,0,0,1,1,0
NOZ,0,0,0,0,1,0,0,1,1,0
HTG,0,0,1,0,1,0,0,1,0,0
IAA,0,0,1,0,1,0,0,1,0,0
NAL,1,0,1,0,0,1,1,0,0,1
OGZ,1,0,1,0,0,1,1,0,0,1
ESL,0,0,0,0,1,0,0,1,1,0
WKK,0,0,0,0,1,0,0,1,1,0
BLF,0,0,0,0,1,0,0,1,1,0
GLH,0,0,0,0,1,0,0,1,1,0
PSC,0,0,0,0,1,0,0,1,1,0
KQA,0,0,0,0,1,0,0,1,1,0
LPS,1,0,0,0,0,0,0,0,0,0
SLY,0,0,1,0,1,0,0,1,0,0
HMA,0,0,1,0,1,0,0,1,0,0
NYA,0,0,1,0,1,0,0,1,0,0
OVS,0,0,1,0,1,0,0,1,0,0
IJK,0,0,0,0,1,0,0,1,1,0
KVX,0,0,0,0,1,0,0,1,1,0
NYM,0,0,1,0,1,0,0,1,0,0
RAT,0,0,1,0,1,0,0,1,0,0
NFG,0,0,1,0,1,0,0,1,0,0
KRO,0,0,0,0,1,0,0,1,1,0
LBD,0,0,0,0,1,0,0,1,1,0
AZN,0,0,0,0,1,0,0,1,1,0
FEG,0,0,1,1,0,1,1,0,0,0
NMA,0,0,0,0,1,0,0,1,1,0
NCU,0,0,0,0,1,0,0,1,1,0
UGC,0,0,0,0,1,0,0,1,1,0
KSQ,0,0,0,0,1,0,0,1,1,0
TMJ,0,0,0,0,1,0,0,1,1,0
RYB,0,0,0,0,1,0,0,1,1,0
EGO,0,0,1,1,0,1,1,0,0,0
URS,0,0,0,0,1,0,0,1,1,0
LPK,0,0,0,0,1,0,0,1,1,0
VKT,0,0,1,0,1,0,0,1,0,0
UUA,0,0,0,0,1,0,0,1,1,0
JOK,0,0,0,0,1,0,0,1,1,0
CSY,0,0,0,0,1,0,0,1,1,0
ULY,0,0,0,0,1,0,0,1,1,0
OSW,0,0,0,0,1,0,0,1,1,0
PEZ,0,0,0,0,1,0,0,1,1,0
SKX,0,0,0,0,1,0,0,1,1,0
BWO,0,0,0,0,1,0,0,1,1,0
HBX,1,1,1,0,0,0,1,1,1,0
KCT,1,1,1,0,0,0,1,1,1,0
WRZ,1,1,1,0,0,0,1,1,1,0
BBM,1,0,1,0,1,1,1,1,1,0
SHL,0,1,1,0,0,0,1,0,1,0
GAU,0,1,1,1,0,1,1,0,1,0
DMU,0,1,1,0,0,0,1,0,1,0
TEZ,0,1,1,0,0,0,1,0,1,0
BZL,1,1,1,0,0,0,1,1,1,0
HOE,1,0,1,0,1,1,1,1,1,0
BHR,0,1,1,0,1,0,1,1,1,1
BDP,0,1,1,0,1,0,1,1,1,1
MEY,0,1,1,0,1,0,1,1,1,1
KEP,0,1,1,0,1,0,1,1,1,1
GAN,1,0,1,1,1,1,1,1,0,1
HAQ,1,1,1,0,1,0,1,1,1,1
KDO,1,0,0,0,1,0,1,1,0,1
MAQ,1,0,1,0,1,1,1,1,1,0
BMV,1,0,1,0,1,1,1,1,1,0
HPH,1,0,1,1,1,1,1,1,1,0
CXR,1,0,1,0,1,1,1,1,1,0
VCS,1,0,1,0,1,1,1,1,1,0
VCA,1,0,1,1,1,1,1,1,1,0
DIN,1,0,1,0,1,1,1,1,1,0
UIH,1,0,1,0,1,1,1,1,1,0
PXU,1,0,1,0,1,1,1,1,1,0
VII,1,0,1,0,1,1,1,1,1,0
BMO,1,0,1,0,1,1,1,0,1,0
TVY,1,0,1,0,1,1,1,1,1,0
KAW,1,0,1,0,1,1,1,1,1,0
LIW,1,0,1,0,1,1,1,1,1,0
MNU,1,0,1,0,1,1,1,1,1,0
BSX,1,1,1,0,0,0,1,1,1,0
PKK,1,0,1,0,1,1,1,1,1,0
SWQ,1,0,0,0,0,0,1,1,0,0
TMC,1,0,0,0,0,0,1,1,0,0
BUI,1,0,0,0,0,0,1,1,0,0
SEH,1,0,0,0,0,0,1,1,0,0
TJS,1,0,0,0,0,0,1,1,0,0
DTD,1,0,0,0,0,0,1,1,0,0
BEJ,1,0,0,0,0,0,1,1,0,0
TJG,1,0,0,0,0,0,1,1,0,0
SMQ,1,0,0,0,0,0,1,1,0,0
LUV,1,0,0,0,0,0,1,1,0,0
ARD,1,0,0,0,0,0,1,1,0,0
BLG,1,0,0,0,0,0,1,1,0,0
LGL,1,0,0,0,0,0,1,1,0,0
ODN,1,0,0,0,0,0,1,1,0,0
MKM,1,0,0,0,0,0,1,1,0,0
BKM,1,0,0,0,0,0,1,1,0,0
LWY,1,0,0,0,0,0,1,1,0,0
BBN,1,0,0,0,0,0,1,1,0,0
TMG,1,0,1,0,1,1,1,1,1,0
KUD,1,0,1,0,1,1,1,1,1,0
TKG,1,0,0,0,0,0,1,1,0,0
HLP,1,0,1,1,0,1,1,1,0,0
NTX,1,0,0,0,0,0,1,1,0,0
PSU,1,0,0,0,0,0,1,1,0,0
SQG,1,0,0,0,0,0,1,1,0,0
PDO,1,0,0,0,0,0,1,1,0,0
LSW,1,0,1,0,1,1,1,1,1,0
PKG,1,0,0,0,0,0,1,1,0,0
LBW,1,0,0,0,0,0,1,1,0,0
NNX,1,0,0,0,0,0,1,1,0,0
LPU,1,0,0,0,0,0,1,1,0,0
ALH,0,0,0,0,1,0,0,1,1,0
GYL,1,0,0,0,0,0,1,1,0,0
AUU,1,0,0,0,0,0,1,1,0,0
BCI,0,0,0,0,1,0,0,1,1,0
BDD,1,0,0,0,0,0,1,1,0,0
BVI,0,0,0,0,1,0,0,1,1,0
BHQ,0,0,0,0,1,0,0,1,1,0
HTI,1,0,0,0,0,0,1,1,0,0
BEU,0,0,0,0,1,0,0,1,1,0
BRK,0,0,0,0,1,0,0,1,1,0
BUC,1,0,0,0,0,0,1,1,0,0
GIC,1,0,0,0,0,0,1,1,0,0
OKY,0,0,0,0,1,0,0,1,1,0
BQL,1,0,0,0,0,0,1,1,0,0
BHS,0,0,0,0,1,0,0,1,1,0
BLT,0,0,0,0,1,0,0,1,1,0
CVQ,0,0,0,0,1,0,0,1,1,0
CAZ,0,0,0,0,1,0,0,1,1,0
CPD,0,0,0,0,1,0,0,1,1,0
CNC,1,0,0,0,0,0,1,1,0,0
CNJ,1,0,0,0,0,0,1,1,0,0
CED,0,0,0,0,1,0,0,1,1,0
CTN,1,0,0,0,0,0,1,1,0,0
CMA,0,0,0,0,1,0,0,1,1,0
CNB,0,0,0,0,1,0,0,1,1,0
CUQ,1,0,0,0,0,0,1,1,0,0
OOM,0,0,0,0,1,0,0,1,1,0
DMD,1,0,0,0,0,0,1,1,0,0
NLF,1,0,0,0,0,0,1,1,0,0
DPO,0,0,0,0,1,0,0,1,1,0
ELC,1,0,0,0,0,0,1,1,0,0
EPR,0,0,0,0,1,0,0,1,1,0
FLS,1,0,0,0,0,0,0,0,0,0
GET,0,0,0,0,1,0,0,1,1,0
GLT,0,0,0,0,1,0,0,1,1,0
GTE,1,0,0,0,0,0,1,1,0,0
GFF,0,0,0,0,1,0,0,1,1,0
HID,1,0,0,0,0,0,1,1,0,0
HOK,1,0,0,0,0,0,1,1,0,0
MHU,0,0,0,0,1,0,0,1,1,0
HGD,1,0,0,0,0,0,1,1,0,0
